model,r2,mse,rmse,mae,seed_count
multitask_lasso__vae,-0.0119791176687222,106.1262930964142,10.301761650145774,5.6092379296914885,1
multitask_lasso__hver,-0.0114435583738156,106.13899806342891,10.302378272196616,5.611368791925532,1
multitask_lasso__h_vae,-0.0116508088340273,106.19222288938889,10.304961081410683,5.610146646180852,1
multitask_lasso__hh_vaem,-0.011259178220337,106.2625821714368,10.308374370939232,5.611757718521278,1
multitask_lasso__vanilla,-0.0125075821903447,106.27174431611115,10.30881876434498,5.608642551500001,1
multitask_lasso__hmc_vae,-0.0104982661215742,106.33895085347544,10.31207791153051,5.613158940223405,1
ridge__knn_based_method_matimputer,-0.1817723393628606,108.8876842224776,10.434926172353956,6.0820590839287325,1
multitask_elasticnet__knn_based_method_matimputer,-0.1880515820124498,110.90148488271927,10.530977394464356,6.117075559608344,1
ridge__knn插补,-0.6042124294353662,111.86237409574558,10.576501032749231,6.443896416841927,1
multitask_lasso__knn_based_method_matimputer,-0.1934064816724065,112.58960845749752,10.61082506016839,6.146473855385869,1
multitask_gp__mice_iterativeimputer,-0.1865136316259244,113.42012757434438,10.64988861793138,6.442161395755318,1
multitask_elasticnet__knn插补,-0.6039645034786186,113.79020803230932,10.667249318934536,6.477555701069062,1
multitask_lasso__knn插补,-0.6042776309442224,115.42044335347552,10.743390682343984,6.506364094597053,1
gbdt__低秩矩阵,-2.8357794244869354,131.68748641821315,11.47551682575618,8.804481593293737,1
multioutput_svr__mida,-2.808528488103963,142.1857340612804,11.92416596921061,8.939936664967808,1
multioutput_svr__gain,-2.708060205720779,153.8611377853342,12.404077466113076,8.769828829917182,1
multioutput_gp__mida,-2.555283970007601,156.45384949163898,12.508151321903608,8.944684262487819,1
multioutput_gp__gain,-0.7272088784428379,163.3879122635953,12.782328123765064,7.967168256518437,1
multitask_gp__mida,-2.643792996450734,170.80510916852356,13.069242868985317,9.615830827611704,1
multitask_gp__gain,-2.5817753413407987,184.5496217973624,13.584904188008188,9.316767393414894,1
ridge__mida,-3.0105816440712543,185.41013464889724,13.61653901139703,9.939842326987904,1
multitask_elasticnet__mida,-3.0161564196169843,186.8001741543511,13.66748602173608,9.956134682505516,1
multitask_lasso__mida,-3.020537698388157,187.9508500341315,13.70951676880449,9.969564834335769,1
multioutput_svr__softimpute,-0.4893251211130688,194.4654364455336,13.945086462461736,8.631032118397627,1
ridge__gain,-2.173792717190336,203.5611771617312,14.267486714965996,9.503741384499158,1
