model,r2_mean,r2_std,mse_mean,mse_std,mae_mean,mae_std,group
multitask_lasso__knn插补,-0.3009128747377036,0.2868315796237041,109.27788942720167,7.261715065398461,6.097723465741397,0.3810673665844406,complete
multitask_lasso__mice_iterativeimputer,-0.3976591679854068,0.0,146.12114037217626,0.0,6.987293504988807,0.0,complete
multitask_lasso__mida_去噪自编码器,-4.533671395133599,0.0,335.68867682075427,0.0,12.67384266018106,0.0,complete
multitask_lasso__missforest,-0.2363235561416662,4.66301930857378e-16,106.8932019539961,7.140866117879973e-14,5.881168319113642,2.5510982866352577e-15,complete
multitask_lasso__miwae_变分自编码器,-3.689358426931115,0.0,705.1595812251511,0.0,16.829197488369033,0.0,complete
multitask_lasso__sinkhorn,-0.012978820358861002,0.0,104.44553752790848,0.0,5.6118043160051805,0.0,complete
multitask_lasso__softimpute_低秩矩阵改良,-4.105744286136934,1.7763568394002505e-15,566.6951159053305,8.469478658384639e-13,16.041877838434793,1.2434497875801753e-14,complete
multitask_lasso__vae,-0.0118950022953052,0.0,106.3240021213931,0.0,5.609314227923969,0.0,complete
multitask_lasso__低秩矩阵,-4.105744286136934,1.7763568394002505e-15,566.6951159053305,8.469478658384639e-13,16.041877838434793,1.2434497875801753e-14,complete
random_forest__gain,-2.2830061791300986,0.03035873323711197,76.49268039309231,2.574990297046994,6.80993960252763,0.10666619070978374,complete
random_forest__hyperimpute,0.27036438635136284,0.005282975258472571,31.246627517299906,0.718344023905655,3.886041796307353,0.02898674200658911,complete
random_forest__knn_based_method_matimputer,-0.26790421341370413,0.3902563602410853,47.038672811238015,13.539425362266268,4.863360558195447,0.8795388017571618,complete
random_forest__knn插补,-0.2679042134137041,0.39025636024108556,47.038672811238015,13.539425362266297,4.8633605581954455,0.879538801757162,complete
random_forest__mice_iterativeimputer,-0.6158551921489824,0.014041253675942625,43.455906545598864,2.8595076673569535,5.205556310318899,0.09388998762567301,complete
random_forest__mida_去噪自编码器,-3.5606124191766257,0.03952647694899396,99.99232708782931,5.805716516109827,8.20177183970462,0.23175385992473566,complete
random_forest__missforest,0.15005533326687812,0.00866403180634404,31.09718972018943,1.0889358487663687,3.850730653169429,0.03737857460359626,complete
random_forest__miwae_变分自编码器,-1.8367946612334543,0.024120395743568068,90.24768855501499,2.7253993227165916,7.186756290224035,0.09416687303869606,complete
random_forest__sinkhorn,0.30598834708466216,0.006138764982211669,37.727557030688786,1.7955507503133754,4.109006424972554,0.0530527001406503,complete
random_forest__softimpute_低秩矩阵改良,-2.783725407906476,0.0177271331741057,97.05860585768144,3.6788751984142496,7.903334988967336,0.15086432674184583,complete
random_forest__vae,0.3273486895583858,0.004173585853671785,36.299001642083994,1.1095719702408484,4.047212134254882,0.05028212691945301,complete
random_forest__低秩矩阵,-2.783725407906476,0.017727133174105684,97.05860585768144,3.6788751984142656,7.903334988967336,0.15086432674184655,complete
ridge__gain,-2.173792717190336,0.0,203.5611771617312,0.0,9.503741384499158,0.0,complete
ridge__hyperimpute,-0.1596648370008883,0.0,96.26499252831736,0.0,5.948367625301991,0.0,complete
ridge__knn_based_method_matimputer,-0.2976207239423722,0.28674737163466635,105.95605140714838,6.665905713532859,6.034339925168707,0.3697040950392453,complete
ridge__knn插补,-0.2976207239423722,0.28674737163466635,105.95605140714838,6.665905713532859,6.034339925168707,0.3697040950392453,complete
ridge__mice_iterativeimputer,-0.3875499955073889,0.0,145.14713494279226,0.0,6.98001038092371,0.0,complete
ridge__mida_去噪自编码器,-4.547159931445579,0.0,336.4060844747248,0.0,12.7003573257009,0.0,complete
ridge__missforest,-0.22288634562481063,2.2887833992611187e-16,103.57693638905089,6.07087979554246e-14,5.813480566334514,7.691850745534255e-16,complete
ridge__miwae_变分自编码器,-3.685623646936633,0.0,702.1883228534442,0.0,16.798283184898867,0.0,complete
ridge__sinkhorn,-0.0046551314204231,0.0,101.66777605788668,0.0,5.563576417242783,0.0,complete
ridge__softimpute_低秩矩阵改良,-4.107839093056114,1.0877919644084146e-15,565.9191299107022,5.271441804947985e-13,16.03369910479107,3.076740298213702e-15,complete
ridge__vae,-0.0037221875387508,0.0,103.59284340029618,0.0,5.563660872244356,0.0,complete
ridge__低秩矩阵,-4.107839093056114,1.0877919644084146e-15,565.9191299107022,5.271441804947985e-13,16.03369910479107,3.076740298213702e-15,complete
