1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Flexural strength
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,10,28,40,160,21.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,11,28,40,160,17.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,13,28,40,160,16.0
612.4,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.0,0,1,40,160,10.8
612.4,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.0,0,1,40,160,11.6
600.2,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.0,0,1,40,160,14.3
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,2.0,0.2,13,28,40,160,18.8
600.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.0,0,1,40,160,13.5
600.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,2.0,0.2,13,28,40,160,27.9
600.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.0,0,1,40,160,17.6
600.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,2.0,0.2,13,28,40,160,24.9
600.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,2.0,0.2,13,28,40,160,31.7
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,0.0,0.0,0,7,40,160,12.89189368
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.2,13,7,40,160,21.7185404
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.19,12,7,40,160,24.28404145
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.18,9,7,40,160,21.31743822
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.17,7,7,40,160,20.2959975
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.16,6,7,40,160,18.545326
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,0.0,0.0,0,28,40,160,15.32697655
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.2,13,28,40,160,28.1659707
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.19,12,28,40,160,30.91365319
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.18,9,28,40,160,25.45458563
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.17,7,28,40,160,23.94701209
594.2,52.5,1,0,0.0,0.0,0.0,24.8,265.3,1282.3,0,2.0,0.0,176.9,44.2,0.0,0,0,2.0,0.16,6,28,40,160,21.58824848
700.0,52.5,1,0,150.0,0.0,50.0,0.0,0.0,1104.0,0,1.25,0.0,180.0,30.0,0.0,0,0,0.0,0.0,0,28,40,160,7.729257642
700.0,52.5,1,0,150.0,0.0,50.0,0.0,0.0,1104.0,0,1.25,0.0,180.0,30.0,0.0,0,0,0.5,0.0,0,28,40,160,9.213973799
700.0,52.5,1,0,150.0,0.0,50.0,0.0,0.0,1104.0,0,1.25,0.0,180.0,30.0,0.0,0,0,1.0,0.0,0,28,40,160,14.84716157
700.0,52.5,1,0,150.0,0.0,50.0,0.0,0.0,1104.0,0,1.25,0.0,180.0,30.0,0.0,0,0,1.5,0.0,0,28,40,160,17.59825328
700.0,52.5,1,0,150.0,0.0,50.0,0.0,0.0,1104.0,0,1.25,0.0,180.0,30.0,0.0,0,0,2.0,0.0,0,28,40,160,20.91703057
700.0,52.5,1,0,150.0,0.0,50.0,0.0,0.0,1104.0,0,1.25,0.0,180.0,30.0,0.0,0,0,2.5,0.0,0,28,40,160,22.66375546
657.0,52.5,1,1,0.0,429.8,119.4,0.0,0.0,1050.0,0,0.3,0.0,180.93,12.66,0.0,0,0,2.0,0.2,13,7,50,200,18.0
657.0,52.5,1,1,0.0,429.8,119.4,0.0,0.0,1050.0,0,0.3,0.0,180.93,12.66,0.0,0,0,2.0,0.2,13,28,50,200,20.2
657.0,52.5,1,1,0.0,429.8,119.4,0.0,0.0,1050.0,0,0.3,0.0,180.93,12.66,0.0,0,0,2.0,0.2,13,56,50,200,21.0
657.0,52.5,1,1,0.0,429.8,119.4,0.0,0.0,1050.0,0,0.3,0.0,180.93,12.66,0.0,0,0,2.0,0.2,13,91,50,200,21.9
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,207.0,24.0,0.0,0,0,8.0,0.18,13,1,40,160,10.81570997
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,207.0,24.0,0.0,0,0,8.0,0.18,13,3,40,160,22.96072508
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,207.0,24.0,0.0,0,0,8.0,0.18,13,7,40,160,34.13897281
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,207.0,24.0,0.0,0,0,8.0,0.18,13,28,40,160,36.3141994
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,228.0,24.0,0.0,0,0,8.0,0.18,13,1,40,160,11.17824773
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,228.0,24.0,0.0,0,0,8.0,0.18,13,3,40,160,22.59818731
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,228.0,24.0,0.0,0,0,8.0,0.18,13,7,40,160,29.12386707
960.0,42.5,2,0,0.0,0.0,240.0,0.0,0.0,960.0,0,0.1,0.0,228.0,24.0,0.0,0,0,8.0,0.18,13,28,40,160,31.96374622
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,164.0,28.0,0.0,0,0,8.0,0.18,13,1,40,160,24.36
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,174.0,28.0,0.0,0,0,8.0,0.18,13,1,40,160,23.55
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,183.0,28.0,0.0,0,0,8.0,0.18,13,1,40,160,19.1
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,193.0,28.0,0.0,0,0,8.0,0.18,13,1,40,160,20.48
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,202.0,28.0,0.0,0,0,8.0,0.18,13,1,40,160,18.45
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,212.0,28.0,0.0,0,0,8.0,0.18,13,1,40,160,17.09
960.0,52.5,1,0,0.0,0.0,250.0,0.0,0.0,960.0,0,1.0,0.0,212.0,28.0,0.0,0,0,8.0,0.18,13,1,40,160,21.53
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,164.0,28.0,0.0,0,0,8.0,0.18,13,3,40,160,30.18
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,174.0,28.0,0.0,0,0,8.0,0.18,13,3,40,160,23.93
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,183.0,28.0,0.0,0,0,8.0,0.18,13,3,40,160,19.87
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,193.0,28.0,0.0,0,0,8.0,0.18,13,3,40,160,25.18
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,202.0,28.0,0.0,0,0,8.0,0.18,13,3,40,160,26.43
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,212.0,28.0,0.0,0,0,8.0,0.18,13,3,40,160,21.97
960.0,52.5,1,0,0.0,0.0,250.0,0.0,0.0,960.0,0,1.0,0.0,212.0,28.0,0.0,0,0,8.0,0.18,13,3,40,160,23.72
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,164.0,28.0,0.0,0,0,8.0,0.18,13,28,40,160,39.11
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,174.0,28.0,0.0,0,0,8.0,0.18,13,28,40,160,34.12
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,183.0,28.0,0.0,0,0,8.0,0.18,13,28,40,160,30.03
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,193.0,28.0,0.0,0,0,8.0,0.18,13,28,40,160,38.04
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,202.0,28.0,0.0,0,0,8.0,0.18,13,28,40,160,37.95
960.0,52.5,1,0,250.0,0.0,0.0,0.0,0.0,960.0,0,1.0,0.0,212.0,28.0,0.0,0,0,8.0,0.18,13,28,40,160,29.44
960.0,52.5,1,0,0.0,0.0,250.0,0.0,0.0,960.0,0,1.0,0.0,212.0,28.0,0.0,0,0,8.0,0.18,13,28,40,160,32.71
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,0.0,25,12,0.0,0.0,0,28,55,350,7.732870729
