1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,90,40.0,160.0,162.47
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0.0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,90,40.0,160.0,169.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,0.0,0.0,0,7,40.0,160.0,93.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,6,7,40.0,160.0,118.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,8,7,40.0,160.0,121.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,10,7,40.0,160.0,108.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,11,7,40.0,160.0,103.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,13,7,40.0,160.0,100.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,0.0,0.0,0,28,40.0,160.0,96.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,6,28,40.0,160.0,136.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,8,28,40.0,160.0,144.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,10,28,40.0,160.0,130.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,11,28,40.0,160.0,126.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,13,28,40.0,160.0,122.0
950.0,52.5,1,0,0.0,0.0,255.0,0.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,7,40.0,40.0,105.0
941.5,52.5,1,0,0.0,0.0,255.0,9.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,7,40.0,40.0,108.0
932.0,52.5,1,0,0.0,0.0,255.0,19.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,7,40.0,40.0,112.0
921.5,52.5,1,0,0.0,0.0,255.0,28.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,7,40.0,40.0,118.0
912.0,52.5,1,0,0.0,0.0,255.0,38.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,7,40.0,40.0,115.0
950.0,52.5,1,0,0.0,0.0,255.0,0.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,40.0,40.0,136.0
941.5,52.5,1,0,0.0,0.0,255.0,9.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,40.0,40.0,139.0
