1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength,Flexural strength,_merge
809.0,42.5,1.0,1.0,0.0,0.0,270.0,0.0,0.0,1079.0,0.0,2.36,0.0,177.0,21.6,0.0,0.0,0.0,0.0,0.2,13.0,3.0,40.0,160.0,72.0,10.0,both
800.0,42.5,1.0,1.0,0.0,0.0,267.0,0.0,0.0,1067.0,0.0,2.36,0.0,175.0,21.3,0.0,0.0,0.0,1.0,0.2,13.0,3.0,40.0,160.0,90.0,12.0,both
792.0,42.5,1.0,1.0,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0.0,0.0,2.0,0.2,13.0,3.0,40.0,160.0,103.9,17.0,both
792.0,42.5,1.0,1.0,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0.0,0.0,2.0,0.2,13.0,3.0,40.0,160.0,103.9,19.72642784,both
792.0,42.5,1.0,1.0,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0.0,0.0,2.0,0.2,13.0,3.0,40.0,160.0,103.9,19.61249837,both
784.0,42.5,1.0,1.0,0.0,0.0,261.0,0.0,0.0,1045.0,0.0,2.36,0.0,171.0,20.9,0.0,0.0,0.0,3.0,0.2,13.0,3.0,40.0,160.0,106.6,22.0,both
809.0,42.5,1.0,1.0,0.0,0.0,270.0,0.0,0.0,1079.0,0.0,2.36,0.0,177.0,21.6,0.0,0.0,0.0,0.0,0.2,13.0,7.0,40.0,160.0,95.4,14.0,both
800.0,42.5,1.0,1.0,0.0,0.0,267.0,0.0,0.0,1067.0,0.0,2.36,0.0,175.0,21.3,0.0,0.0,0.0,1.0,0.2,13.0,7.0,40.0,160.0,112.5,15.0,both
792.0,42.5,1.0,1.0,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0.0,0.0,2.0,0.2,13.0,7.0,40.0,160.0,124.62,23.0,both
792.0,42.5,1.0,1.0,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0.0,0.0,2.0,0.2,13.0,7.0,40.0,160.0,124.62,24.05772774,both
