slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_072,5144,8653,250,33754,0.18,2485,-0.3,-4.25,-2.21,750,90,1028,1730,4115,1730,1028,6922,4115,6922,-271.284,-13.36,-189.208,-98.436,271.284,13.36,189.207,98.436
slab_073,6887,12981,250,28272,0.21,2515,-0.82,-4.59,-2.67,500,45,1377,2596,5509,2596,1377,10384,5509,10384,-551.588,-73.68,-410.16,-238.8,551.588,73.68,410.16,238.8
slab_074,5696,10590,200,35630,0.21,2503,-0.7,-4.58,-2.04,1000,90,1139,2118,4556,2118,1139,8472,4556,8472,-296.232,-42.264,-276.304,-123.084,296.232,42.264,276.304,123.084
slab_075,7216,12635,220,31190,0.19,2406,-0.84,-2.15,-0.93,1000,0,1443,2527,5772,2527,1443,10108,5772,10108,-473.464,-76.6,-196.04,-84.848,473.465,76.6,196.04,84.848
slab_076,6428,8125,250,34012,0.21,2494,-0.38,-4.51,-2.77,750,0,1285,1625,5142,1625,1285,6500,5142,6500,-319.496,-19.96,-235.624,-144.64,319.496,19.96,235.623,144.64
slab_077,5545,8496,180,30499,0.2,2492,-0.84,-2.08,-1.24,1000,45,1109,1699,4436,1699,1109,6796,4436,6796,-207.264,-39.52,-97.952,-58.4,207.264,39.52,97.952,58.4
slab_078,6662,15959,200,34369,0.2,2402,-0.81,-4.6,-2.3,1000,90,1332,3191,5329,3191,1332,12767,5329,12767,-500.968,-86.112,-489.016,-244.52,500.968,86.112,489.016,244.52
slab_079,7971,9730,250,30582,0.2,2440,-0.65,-4.93,-2.39,1000,0,1594,1946,6376,1946,1594,7784,6376,7784,-464.08,-50.36,-382.36,-185.36,464.08,50.36,382.36,185.36
slab_080,6082,11113,250,30477,0.2,2418,-0.36,-3.96,-1.74,500,45,1216,2222,4865,2222,1216,8890,4865,8890,-400.612,-24.272,-267.596,-117.272,400.612,24.272,267.595,117.272
slab_081,5484,11935,250,28950,0.2,2584,-0.69,-2.62,-1.43,750,90,1096,2387,4387,2387,1096,9548,4387,9548,-414.792,-45.128,-171.432,-93.576,414.792,45.128,171.432,93.576
slab_082,7743,14109,220,34158,0.21,2510,-0.55,-3.97,-2.2,1000,90,1548,2821,6194,2821,1548,11287,6194,11287,-591.848,-60.0,-433.788,-240.42,591.848,60.0,433.788,240.42
slab_083,6956,8164,250,32718,0.21,2551,-0.96,-5.0,-2.45,750,90,1391,1632,5564,1632,1391,6531,5564,6531,-355.24,-54.6,-283.84,-139.12,355.24,54.6,283.84,139.12
slab_084,6270,9803,200,28648,0.2,2595,-0.76,-1.92,-1.16,500,90,1254,1960,5016,1960,1254,7842,5016,7842,-312.904,-46.88,-118.08,-71.2,312.904,46.88,118.08,71.2
slab_085,4127,15352,200,31979,0.19,2441,-0.45,-3.16,-1.43,1000,90,825,3070,3301,3070,825,12281,3301,12281,-303.392,-28.52,-200.232,-90.632,303.391,28.52,200.232,90.633
slab_086,7390,10608,180,28384,0.18,2436,-0.51,-3.02,-1.28,500,45,1478,2121,5912,2121,1478,8486,5912,8486,-337.068,-40.38,-236.76,-100.26,337.067,40.38,236.76,100.26
slab_087,6464,9684,200,33127,0.21,2426,-0.41,-1.97,-1.1,1000,0,1292,1936,5171,1936,1292,7747,5171,7747,-297.936,-25.6,-123.296,-68.8,297.935,25.6,123.297,68.8
slab_088,7951,14777,220,28430,0.19,2469,-0.64,-2.91,-1.5,500,0,1590,2955,6360,2955,1590,11821,6360,11821,-626.14,-75.36,-341.888,-175.68,626.14,75.36,341.888,175.68
slab_089,6367,15179,180,31597,0.19,2550,-0.94,-4.82,-3.17,1000,0,1273,3035,5093,3035,1273,12143,5093,12143,-435.2,-90.72,-465.792,-306.256,435.2,90.72,465.792,306.256
slab_090,7272,14469,180,28221,0.18,2521,-0.89,-3.99,-1.81,1000,90,1454,2893,5817,2893,1454,11575,5817,11575,-468.46,-93.54,-419.888,-190.468,468.461,93.54,419.888,190.468
slab_091,5330,9752,180,31404,0.21,2540,-0.81,-2.08,-1.23,1000,90,1066,1950,4264,1950,1066,7801,4264,7801,-233.152,-42.08,-108.032,-64.0,233.152,42.08,108.032,64.0
slab_092,6231,9942,250,31087,0.18,2488,-0.81,-1.59,-0.74,750,90,1246,1988,4984,1988,1246,7953,4984,7953,-377.996,-50.176,-98.584,-45.824,377.996,50.176,98.584,45.824
slab_093,5646,13732,250,35622,0.19,2424,-0.92,-2.13,-1.08,500,45,1129,2746,4516,2746,1129,10985,4516,10985,-460.916,-71.496,-165.22,-83.664,460.916,71.496,165.22,83.664
slab_094,5231,15997,220,35152,0.18,2550,-0.41,-3.04,-1.63,500,45,1046,3199,4184,3199,1046,12797,4184,12797,-460.3,-34.088,-254.528,-136.468,460.3,34.088,254.528,136.468
slab_095,6229,14986,220,29543,0.21,2440,-0.63,-3.01,-1.8,1000,0,1245,2997,4983,2997,1245,11988,4983,11988,-491.56,-58.8,-281.048,-168.0,491.56,58.8,281.048,168.0
slab_096,5339,10831,220,35935,0.2,2450,-0.59,-4.92,-3.32,750,45,1067,2166,4271,2166,1067,8664,4271,8664,-305.88,-34.08,-284.46,-192.0,305.88,34.08,284.46,192.0
slab_097,6019,14719,180,31142,0.18,2454,-1.0,-4.59,-1.86,1000,90,1203,2943,4815,2943,1203,11775,4815,11775,-383.888,-88.752,-406.688,-164.768,383.888,88.752,406.689,164.768
slab_098,7585,9342,250,28004,0.2,2449,-0.98,-2.93,-1.24,750,0,1517,1868,6068,1868,1517,7473,6068,7473,-425.616,-69.512,-207.816,-87.912,425.616,69.512,207.817,87.913
slab_099,6767,9669,180,31605,0.19,2415,-0.8,-4.71,-2.0,750,45,1353,1933,5413,1933,1353,7735,5413,7735,-278.968,-52.24,-308.212,-130.748,278.969,52.24,308.212,130.748
slab_100,5419,11465,200,33619,0.2,2548,-0.82,-3.4,-2.22,1000,90,1083,2293,4335,2293,1083,9172,4335,9172,-310.696,-50.928,-211.208,-137.912,310.696,50.928,211.208,137.912
slab_101,5096,9067,220,34013,0.21,2479,-0.98,-4.16,-2.75,1000,90,1019,1813,4076,1813,1019,7253,4076,7253,-247.256,-45.28,-192.22,-127.072,247.256,45.28,192.22,127.072
slab_102,4593,14254,200,35245,0.2,2525,-0.35,-3.21,-1.38,750,0,918,2850,3674,2850,918,11403,3674,11403,-324.28,-23.04,-210.192,-90.24,324.28,23.04,210.192,90.24
slab_103,4457,8862,220,33438,0.22,2525,-0.44,-4.08,-2.54,750,45,891,1772,3565,1772,891,7089,3565,7089,-215.192,-17.408,-161.128,-100.288,215.192,17.408,161.128,100.288
slab_104,4075,10078,220,33409,0.18,2512,-0.71,-4.53,-2.91,500,90,815,2015,3260,2015,815,8062,3260,8062,-222.616,-29.112,-186.124,-119.324,222.616,29.112,186.124,119.324
slab_105,4883,11600,250,32595,0.2,2533,-0.64,-3.57,-1.71,750,0,976,2320,3906,2320,976,9280,3906,9280,-351.92,-36.224,-202.176,-96.864,351.92,36.224,202.176,96.864
